Metabolic Control Analysis Result:

A steady state was found. All coefficients are shown.

Unscaled elasticities
Unscaled elasticity matrix
Rows:    Reactions (reduced system)
Columns: Species (reduced system)
	P	Hout	ADP	Q	NAD	PYR	GAP	NADP	F6P	ACCOA	PEP	PGN	MAL	SUC	OAA	ACE	tkt	RU5P	G6P	AMP	ICIT	DAP	eiia	GLCx	ACEx	Pp	PGA3	ei	icd	S7P	ACO	GL6P	SUCCOA	FAD	E4P	PGA2	KDPG	ACEp	FUM	eiicb	X5P	ACP	BPG	GLCp	GLX	R5P	hprP	talC3	CIT	ATP	AKG	FDP	CAMP	NADPH	FADH2	eiiaP	tal	QH2	hpr	icdP	NADH	eiP	eiicbP	tktC2
(SK)	0.0109658	0.0763381	-0.000760991	-0.000138193	0.0487221	6.39192e-07	9.47448e-05	0.000287135	0.0360388	-0.141594	-9.5695e-05	-0.0867469	0.00926246	-0.0249523	0.0342321	0.0563239	-0.00578592	-0.0128401	-0.2616	-0.0549305	0.00884343	0.0125641	-0.0379108	0.0267078	0.00396175	0.02736	6.01947e-05	5.16639e-05	0.086056	0.263858	2.71834e-06	-0.101601	-0.000159429	0.000147222	-0.000147222	-0.532922	-0.0649058	-6.24308	6.26449	0.252004	0.021124	-0.0117775	0.0615175	0.0232796	0.0124123	-1.70927	1.7288	-0.00169158	2.53515e-05	-0.000205763	-3.59824e-06	-0.000414072	-2.25796e-05	-1.74111e-14	1.30288e-14	0.34609	0.0177414	-0.0115338	0.0220424	-945.727	0.0214076	-1.59348e-14	-0.121669	-3.27644e-06	-0.000253912	-0.456989	-0.000253912	-9.5695e-05
(SDH)	-0.00484738	0.0321678	-0.0011222	-0.000203786	0.0566949	7.43789e-07	0.000392647	0.00118996	0.0903437	-0.0714269	-0.000128526	-0.0758741	0.0102774	-0.0287938	0.0308613	0.0564186	-0.0065918	-0.0204946	-0.417551	-0.0106737	0.00601459	0.0154795	-0.0861559	0.0873886	0.00509147	0.0365278	4.66843e-05	4.00681e-05	-0.0195813	0.197593	6.81447e-06	0.0272181	4.56102e-05	0.000845779	-0.000845779	0.130587	0.0159045	1.42084	-1.39934	0.210557	0.0176498	-0.0147985	0.0394592	0.0173063	0.0125849	-1.25845	1.28413	0.00370755	2.9283e-05	0.000450983	-2.6492e-06	-0.00030486	-1.66242e-05	-1.17452e-16	5.92694e-16	0.387152	0.0250576	0.0030898	0.0192804	-1120.13	0.0214941	9.29652e-16	-0.122811	-3.30719e-06	-0.000274103	-0.493327	-0.000274103	-0.000128526
(FUMA)	-0.00484738	0.0321678	-0.0011222	-0.000203786	0.0566949	7.43789e-07	0.000392647	0.00118996	0.0903437	-0.0714269	-0.000128526	-0.0758741	0.0102774	-0.0287938	0.0308613	0.0564186	-0.0065918	-0.0204946	-0.417551	-0.0106737	0.00601459	0.0154795	-0.0861559	0.0873886	0.00509147	0.0365278	4.66843e-05	4.00681e-05	-0.0195813	0.197593	6.81447e-06	0.0272181	4.56102e-05	0.000845779	-0.000845779	0.130587	0.0159045	1.42084	-1.39934	0.210557	0.0176498	-0.0147985	0.0394592	0.0173063	0.0125849	-1.25845	1.28413	0.00370755	2.9283e-05	0.000450983	-2.6492e-06	-0.00030486	-1.66242e-05	0	-5.96592e-15	0.387152	0.0250576	0.0030898	0.0192804	-1120.13	0.0214941	5.43992e-15	-0.122811	-3.30719e-06	-0.000274103	-0.493327	-0.000274103	-0.000128526
(MQO)	-0.00654925	0.272309	-0.00675594	-0.00122685	0.235975	3.0958e-06	0.00232806	0.00705544	0.26637	0.468796	-0.000112088	-0.0521103	0.0551119	-0.146401	0.196336	0.32509	-0.0336842	-0.0814837	-1.66013	-0.132358	0.593559	-0.453608	-0.275134	-0.675459	0.0149474	-0.271886	0.00336433	0.00288753	-0.175473	0.910633	2.00918e-05	0.319331	0.000716049	0.307255	0.692745	1.62519	0.197936	12.7319	-12.5919	0.141441	0.0118562	-0.388581	0.28748	0.148716	0.0441051	-10.904	11.0352	-0.00786782	6.05306e-05	-0.000957034	-2.29544e-05	-0.00264151	-0.000144043	-5.34227e-17	2.45396e-15	2.60151	-0.936152	0.0362505	-0.204524	-5625.29	0.139951	4.53272e-15	-0.550039	-1.48121e-05	-0.000619231	-1.11449	-0.000619231	-0.000112088
(MDH)	0.0163725	0.27901	-0.00519774	-0.000943887	0.153863	2.01856e-06	0.00155032	0.00469843	0.100921	0.457599	6.75083e-05	0.0165834	0.0413571	-0.106993	0.161332	0.255084	-0.0247409	-0.0485747	-0.989648	-0.154283	0.603777	-0.47905	-0.089872	0.146977	0.00787524	-0.26267	0.0034267	0.00294106	-0.0454517	0.733993	7.61227e-06	0.159843	0.000464519	0.305522	0.694478	0.815588	0.0993324	3.29879	-3.17407	-0.0361325	-0.00302878	-0.378665	0.256496	0.113678	0.0343538	-8.30214	8.43791	0.00981722	3.73598e-05	0.00119416	-1.74771e-05	-0.0020112	-0.000109672	1.80765e-16	1.44728e-15	2.15304	-0.978947	0.0181454	-0.219584	-4066.09	0.124727	3.60473e-15	-0.457284	-1.23142e-05	-0.000332466	-0.598368	-0.000332466	6.75083e-05
(ACEA)	-0.0158132	-0.0441703	-0.000361208	-6.55938e-05	0.00797289	1.04597e-07	0.000297903	0.000902828	0.054305	0.0701669	-3.28309e-05	0.0108728	0.00101499	-0.00384146	-0.00337083	9.46452e-05	-0.000805884	-0.00765452	-0.155951	0.0442568	-0.00282884	0.00291534	-0.0482451	0.0606808	0.00112972	0.00916775	-1.35104e-05	-1.15957e-05	-0.105637	-0.0662655	4.09613e-06	0.128819	0.000205039	0.000698556	-0.000698556	0.663509	0.0808103	7.66391	-7.66383	-0.0414467	-0.00347423	-0.00302101	-0.0220583	-0.00597331	0.000172533	0.450821	-0.444675	0.00539913	3.93152e-06	0.000656745	9.49039e-07	0.000109212	5.95538e-06	-5.83657e-17	-2.93357e-16	0.0410621	0.00731624	0.0146236	-0.00276198	-174.402	8.65e-05	3.98769e-16	-0.001142	-3.0753e-08	-2.01905e-05	-0.0363387	-2.01905e-05	-3.28309e-05
(ACEB)	-0.0158132	-0.0441703	-0.000361208	-6.55938e-05	0.00797289	1.04597e-07	0.000297903	0.000902828	0.054305	0.0701669	-3.28309e-05	0.0108728	0.00101499	-0.00384146	-0.00337083	9.46452e-05	-0.000805884	-0.00765452	-0.155951	0.0442568	-0.00282884	0.00291534	-0.0482451	0.0606808	0.00112972	0.00916775	-1.35104e-05	-1.15957e-05	-0.105637	-0.0662655	4.09613e-06	0.128819	0.000205039	0.000698556	-0.000698556	0.663509	0.0808103	7.66391	-7.66383	-0.0414467	-0.00347423	-0.00302101	-0.0220583	-0.00597331	0.000172533	0.450821	-0.444675	0.00539913	3.93152e-06	0.000656745	9.49039e-07	0.000109212	5.95538e-06	6.5682e-16	2.85063e-15	0.0410621	0.00731624	0.0146236	-0.00276198	-174.402	8.65e-05	-1.27557e-15	-0.001142	-3.0753e-08	-2.01905e-05	-0.0363387	-2.01905e-05	-3.28309e-05
(ACEK_1)	-3.90775e-07	1.17191e-06	-7.86866e-09	-1.42891e-09	3.24107e-06	4.252e-11	1.62557e-08	4.92646e-08	3.34997e-06	4.64067e-06	-1.90264e-09	4.52591e-07	4.56155e-07	-1.23388e-06	1.46307e-06	2.54894e-06	-2.81836e-07	-8.1523e-07	-1.66093e-05	-2.92177e-06	-1.97847e-06	2.2861e-07	-1.04008e-05	4.14335e-06	1.20604e-07	3.63061e-06	-1.03407e-08	-8.87522e-09	-8.77832e-07	8.48889e-06	2.52682e-10	8.32119e-07	6.46312e-10	-2.52254e-07	2.52254e-07	3.93402e-06	4.79134e-07	0.0104904	0.989508	-1.6385e-06	-1.37346e-07	1.74079e-06	2.81565e-06	5.30101e-06	-8.07955e-07	-0.000401903	0.000393102	-6.28368e-06	-2.84818e-09	-7.64341e-07	-8.46059e-10	-9.73614e-08	-5.30916e-09	1.67335e-19	-5.33737e-20	-1.98947e-06	9.86575e-07	9.44622e-08	-8.17024e-07	-0.0480984	-1.74986e-06	-5.02241e-18	8.18439e-06	2.20399e-10	6.58746e-09	1.1856e-05	6.58746e-09	-1.90264e-09
(ACEK_2)	-3.90775e-07	1.17191e-06	-7.86866e-09	-1.42891e-09	3.24107e-06	4.252e-11	1.62557e-08	4.92646e-08	3.34997e-06	4.64067e-06	-1.90264e-09	4.52591e-07	4.56155e-07	-1.23388e-06	1.46307e-06	2.54894e-06	-2.81836e-07	-8.1523e-07	-1.66093e-05	-2.92177e-06	-1.97847e-06	2.2861e-07	-1.04008e-05	4.14335e-06	1.20604e-07	3.63061e-06	-1.03407e-08	-8.87522e-09	-8.77832e-07	8.48889e-06	2.52682e-10	8.32119e-07	6.46312e-10	-2.52254e-07	2.52254e-07	3.93402e-06	4.79134e-07	0.0104904	0.989508	-1.6385e-06	-1.37346e-07	1.74079e-06	2.81565e-06	5.30101e-06	-8.07955e-07	-0.000401903	0.000393102	-6.28368e-06	-2.84818e-09	-7.64341e-07	-8.46059e-10	-9.73614e-08	-5.30916e-09	-3.20182e-22	-1.83025e-20	-1.98947e-06	9.86575e-07	9.44622e-08	-8.17024e-07	-0.0480984	-1.74986e-06	3.34818e-20	8.18439e-06	2.20399e-10	6.58746e-09	1.1856e-05	6.58746e-09	-1.90264e-09
(EDD)	-0.00576744	-0.0100242	-0.00113226	-0.000205613	-0.0207499	-2.72221e-07	1.24616e-05	3.77663e-05	-0.00713076	0.189874	8.25109e-05	-0.234566	-2.68495e-05	-0.00145301	0.000894526	0.00265891	-0.000440689	0.000197464	0.00402309	0.0064089	-0.00341834	-0.000196956	0.0063112	-0.00727258	0.00481403	0.00252609	-1.90675e-05	-1.63653e-05	-0.00245317	0.00283279	-5.3786e-07	0.00223519	2.39207e-06	-0.00040078	0.00040078	0.0125121	0.00152388	0.177938	-0.181554	0.688907	0.0577471	0.00507987	0.0148137	-0.00279574	-0.00192048	0.203205	-0.207639	-0.00072981	-9.72098e-07	-8.87734e-05	4.27773e-07	4.92265e-05	2.68435e-06	1.0612e-17	-1.02194e-16	0.0555117	0.00757632	0.000253739	-0.000455907	-26.5514	-0.0036153	-5.0695e-17	0.0200237	5.3922e-07	7.04313e-06	0.0126761	7.04313e-06	8.25109e-05
(EDA)	-0.00576744	-0.0100242	-0.00113226	-0.000205613	-0.0207499	-2.72221e-07	1.24616e-05	3.77663e-05	-0.00713076	0.189874	8.25109e-05	-0.234566	-2.68495e-05	-0.00145301	0.000894526	0.00265891	-0.000440689	0.000197464	0.00402309	0.0064089	-0.00341834	-0.000196956	0.0063112	-0.00727258	0.00481403	0.00252609	-1.90675e-05	-1.63653e-05	-0.00245317	0.00283279	-5.3786e-07	0.00223519	2.39207e-06	-0.00040078	0.00040078	0.0125121	0.00152388	0.177938	-0.181554	0.688907	0.0577471	0.00507987	0.0148137	-0.00279574	-0.00192048	0.203205	-0.207639	-0.00072981	-9.72098e-07	-8.87734e-05	4.27773e-07	4.92265e-05	2.68435e-06	1.21922e-17	-1.14151e-16	0.0555117	0.00757632	0.000253739	-0.000455907	-26.5514	-0.0036153	-4.99335e-17	0.0200237	5.3922e-07	7.04313e-06	0.0126761	7.04313e-06	8.25109e-05
(NDHI)	-0.0133318	0.036927	-0.00037765	-6.85796e-05	0.0895302	1.17456e-06	0.00041986	0.00127243	0.0807674	0.296144	2.65025e-05	0.0592551	0.0137722	-0.0364155	0.0470549	0.0789584	-0.00832794	-0.0219205	-0.446602	-0.0100688	0.00968003	0.0171782	-0.0645238	0.48007	0.0025896	0.0728476	7.96417e-05	6.83549e-05	0.0086383	0.281602	6.09214e-06	-0.00620463	-6.57399e-06	0.000253439	-0.000253439	-0.0421282	-0.0051309	-0.626423	0.653281	-0.177583	-0.0148857	0.573957	0.118296	0.0106147	0.0173144	-0.745014	0.788116	0.0144772	5.40222e-06	0.00176099	-1.56835e-06	-0.000180481	-9.84169e-06	-1.8092e-17	2.57698e-16	0.811784	0.0607625	-0.00070435	-0.381871	-1414.46	0.0268582	1.15242e-15	-0.134614	-3.62504e-06	-3.82318e-06	-0.00688092	-3.82318e-06	2.65025e-05
(PNT)	-0.0407787	0.0174217	0.000364554	6.62015e-05	0.133597	1.75268e-06	0.000489109	0.0014823	0.051968	1.29634	0.000451398	0.132427	0.0194117	-0.049431	0.0750736	0.118128	-0.0113734	-0.0229934	-0.468461	-0.00517036	-0.00997421	0.0222255	-0.0477172	0.0264954	0.00132452	0.0675269	-3.63514e-05	-3.11996e-05	0.0396864	0.403156	3.91986e-06	-0.0479508	-8.01375e-05	-0.00175851	0.00175851	-0.255668	-0.0311384	-2.87909	2.89134	-0.374456	-0.0313885	0.0250524	0.285916	0.00800052	0.00863589	-0.57721	0.593712	0.00379865	-9.90319e-06	0.000462064	-1.2151e-06	-0.00013983	-7.62498e-06	-7.90202e-17	4.81068e-16	-1.30898	0.142859	-0.00544338	0.0459397	-1894.22	0.0122513	-5.60832e-16	-0.0699191	-1.88286e-06	0.000109821	0.197655	0.000109821	0.000451398
(ADK)	-0.000496826	0.000461773	-8.02096e-05	-1.45657e-05	0.0023745	3.11514e-08	1.82076e-05	5.51803e-05	0.00581382	-0.00669222	-9.09412e-06	-0.00620319	0.000477421	-0.00139725	0.0012049	0.00245403	-0.000318647	-0.00116289	-0.0236923	0.00478532	0.000437899	0.00480919	0.995263	0.00919896	0.000308526	-0.0755326	-2.16678e-05	-1.8597e-05	-0.00110646	0.00806709	4.38526e-07	0.000832994	1.48369e-06	4.56535e-05	-4.56535e-05	0.00362524	0.000441526	0.0803276	-0.0750805	0.0172669	0.00144738	-0.00210049	0.00136608	0.00417068	-0.0016769	0.684019	0.322305	0.892184	0.000368359	0.108524	1.43995e-06	0.000165704	9.03593e-06	7.68777e-17	-9.45971e-17	0.0450505	8.8368e-05	9.45615e-05	0.00146971	-54.8689	0.00524709	4.65329e-17	0.016487	4.43979e-07	-0.000582522	-1.04842	-0.000582522	-9.09412e-06
(ATP_SYN)	-0.0745101	0.154387	-0.00402529	-0.000730976	0.452872	5.9413e-06	0.00265128	0.008035	0.541367	0.964072	-0.000223369	0.0580285	0.0723256	-0.195992	0.230533	0.403066	-0.0447585	-0.130581	-2.66042	-0.0269325	0.0265419	0.100912	-0.498986	0.913178	0.0214151	0.282153	0.000244791	0.000210099	-0.122914	1.35911	4.08344e-05	0.168805	0.000279149	0.00316293	-0.00316293	0.812253	0.0989263	8.91862	-8.79116	-0.219984	-0.01844	0.527466	0.482083	0.0850725	0.0773449	-6.1421	6.31194	0.0377229	7.02084e-05	0.00458857	-1.293e-05	-0.00148793	-8.11376e-05	3.98595e-15	1.19577e-13	3.53033	0.279102	0.0191627	-0.267735	-7643.62	0.127454	1.81364e-14	-0.709333	-1.91017e-05	-0.000559469	-1.00693	-0.000559469	-0.000223369
(CYA)	-0.000145744	0.000447949	-2.8471e-06	-5.17021e-07	0.00122426	1.60613e-08	6.12243e-06	1.85547e-05	0.00125695	0.00175435	-7.08748e-07	0.000174734	0.000172118	-0.000465368	0.000553054	0.000962572	-0.000106305	-0.000306708	-0.00624879	-0.00111662	-0.000752294	8.36235e-05	-0.00427948	0.00155382	7.55861e-05	0.00140078	-3.92546e-06	-3.36914e-06	-0.000328423	0.00320418	9.48098e-08	0.000309708	2.35043e-07	-9.59368e-05	9.59368e-05	0.00146308	0.000178192	0.0238199	-0.0244885	-0.000628386	-5.2674e-05	0.000658042	0.0010635	0.00235385	-0.000298549	0.80858	0.187729	-0.00269366	-1.20793e-06	-0.000327654	1.70217e-06	0.000195879	1.06814e-05	5.83522e-19	-7.81087e-18	-0.00104939	0.000371166	3.51581e-05	-0.000309177	-18.1376	-0.000668671	-8.14921e-18	0.00302568	8.14789e-08	2.69644e-06	0.00485301	2.69644e-06	-7.08748e-07
(DOS)	-0.000145744	0.000447949	-2.8471e-06	-5.17021e-07	0.00122426	1.60613e-08	6.12243e-06	1.85547e-05	0.00125695	0.00175435	-7.08748e-07	0.000174734	0.000172118	-0.000465368	0.000553054	0.000962572	-0.000106305	-0.000306708	-0.00624879	-0.00111662	-0.000752294	8.36235e-05	-0.00427948	0.00155382	7.55861e-05	0.00140078	-3.92546e-06	-3.36914e-06	-0.000328423	0.00320418	9.48098e-08	0.000309708	2.35043e-07	-9.59368e-05	9.59368e-05	0.00146308	0.000178192	0.0238199	-0.0244885	-0.000628386	-5.2674e-05	0.000658042	0.0010635	0.00235385	-0.000298549	0.80858	0.187729	-0.00269366	-1.20793e-06	-0.000327654	1.70217e-06	0.000195879	1.06814e-05	-2.62668e-19	-9.64627e-18	-0.00104939	0.000371166	3.51581e-05	-0.000309177	-18.1376	-0.000668671	-8.29179e-18	0.00302568	8.14789e-08	2.69644e-06	0.00485301	2.69644e-06	-7.08748e-07
(ACK)	-0.000351289	1.73577e-05	-7.73462e-05	-1.40457e-05	0.00115561	1.51606e-08	1.21e-05	3.66705e-05	0.00455977	-0.00843373	-8.38355e-06	-0.00637473	0.000306042	-0.000933806	0.000654576	0.00149587	-0.000212783	-0.000857176	-0.0174639	0.00589633	0.00118748	0.0047262	-0.000457514	0.00765066	0.000276261	-0.0769335	-1.77581e-05	-1.52414e-05	-0.000775002	0.00487977	3.43935e-07	0.000519205	1.24118e-06	0.000141197	-0.000141197	0.00214059	0.000260708	0.0562875	-0.0503738	0.0178859	0.00149927	-0.0027532	0.000309428	0.00181143	-0.00138398	-0.124203	0.134219	0.894931	0.000312896	0.108859	-2.61463e-07	-3.00883e-05	-1.64073e-06	1.20738e-16	2.90961e-16	0.0460571	-0.000280239	5.89402e-05	0.00177651	-36.8052	0.00591368	-1.32952e-18	0.0135175	3.64014e-07	-3.02529e-05	-0.0544489	-3.02529e-05	-8.38355e-06
(ACS)	-0.00035127	1.73591e-05	-7.73418e-05	-1.40449e-05	0.00115555	1.51598e-08	1.20994e-05	3.66685e-05	0.00455952	-0.00843324	-8.38308e-06	-0.00637437	0.000306026	-0.000933756	0.000654542	0.00149579	-0.000212771	-0.000857129	-0.0174629	0.00589599	0.00118741	0.00472594	-0.00045751	0.00765023	0.000276246	-0.0769291	-1.77571e-05	-1.52406e-05	-0.00077496	0.00487951	3.43916e-07	0.000519178	1.24111e-06	0.000141189	-0.000141189	0.00214048	0.000260694	0.0562844	-0.0503711	0.0178849	0.00149919	-0.00275304	0.000309416	0.00181134	-0.0013839	-0.124197	0.134212	0.89488	0.000369568	0.108852	-2.6145e-07	-3.00868e-05	-1.64064e-06	2.71711e-15	-6.80031e-16	0.0460545	-0.000280221	5.89371e-05	0.00177641	-36.8032	0.00591335	-4.75563e-15	0.0135167	3.63994e-07	-0.000585224	-1.05328	-0.000585224	-8.38308e-06
(PTA)	-0.000351289	1.73577e-05	-7.73462e-05	-1.40457e-05	0.00115561	1.51606e-08	1.21e-05	3.66705e-05	0.00455977	-0.00843373	-8.38355e-06	-0.00637473	0.000306042	-0.000933806	0.000654576	0.00149587	-0.000212783	-0.000857176	-0.0174639	0.00589633	0.00118748	0.0047262	-0.000457514	0.00765066	0.000276261	-0.0769335	-1.77581e-05	-1.52414e-05	-0.000775002	0.00487977	3.43935e-07	0.000519205	1.24118e-06	0.000141197	-0.000141197	0.00214059	0.000260708	0.0562875	-0.0503738	0.0178859	0.00149927	-0.0027532	0.000309428	0.00181143	-0.00138398	-0.124203	0.134219	0.894931	0.000312896	0.108859	-2.61463e-07	-3.00883e-05	-1.64073e-06	-8.98904e-16	-2.55495e-15	0.0460571	-0.000280239	5.89402e-05	0.00177651	-36.8052	0.00591368	3.43459e-16	0.0135175	3.64014e-07	-3.02529e-05	-0.0544489	-3.02529e-05	-8.38355e-06
(PTS_0)	-7.40418e-15	-1.37954e-14	-2.21045e-16	5.78837e-16	5.26824e-15	9.12875e-15	-9.35733e-16	-8.77992e-16	2.03653e-15	-9.73309e-15	1.16102e-15	1.22608e-15	-2.10075e-17	-4.39695e-15	3.72924e-15	4.9528e-15	2.86144e-15	-1.73787e-15	-1.12533e-14	3.97615e-15	-2.26296e-15	-9.23911e-15	-1.0893e-14	-2.56447e-16	-2.27447e-15	4.61425e-15	-6.15472e-16	6.10716e-16	-2.49903e-15	1.29149e-14	6.53121e-15	1.96802e-15	3.48421e-16	-9.89213e-16	9.89213e-16	1.30007e-14	3.1883e-16	1.40761e-13	-1.79355e-13	-5.97377e-15	4.07832e-16	1.78625e-15	2.46345e-15	-5.42793e-15	8.90041e-15	1.68315e-13	-1.79794e-13	7.67095e-15	-1.05064e-14	1.21977e-16	1.5915e-15	2.28518e-15	8.44275e-16	-6.24523e-16	2.84898e-15	1	7.45413e-16	2.00766e-16	-1.04345e-15	-2.30994e-10	-6.29161e-15	3.75201e-15	9.97334e-15	2.52644e-19	3.70577e-16	5.01704e-15	-2.17818e-16	1.16102e-15
(PTS_1)	-7.09277e-15	-8.49875e-15	-4.15458e-16	-7.68487e-16	6.23175e-15	1.82738e-15	-6.56131e-16	6.36129e-16	-5.66971e-16	-9.76349e-15	-5.34316e-16	1.35973e-15	1.05857e-15	-1.61332e-15	3.52474e-15	5.79304e-15	4.93468e-16	-4.12631e-16	-9.46229e-15	4.61401e-15	-2.33619e-15	-1.56568e-15	9.13708e-15	-1.38839e-15	1.05943e-15	3.73336e-15	1.01652e-18	-1.62831e-16	-2.1784e-15	1.24461e-14	2.00942e-15	2.29276e-15	-2.88087e-16	-4.63896e-16	4.63896e-16	1.05526e-14	7.08913e-16	1.54702e-13	-1.58729e-13	-3.36936e-15	-1.99069e-15	1.67887e-15	2.49298e-15	-1.24098e-14	9.80166e-16	1.73894e-13	-1.69235e-13	1.83877e-15	6.87933e-15	-1.924e-16	-8.82292e-16	3.63533e-15	-7.16658e-17	-3.98576e-16	4.83512e-15	1	1.12604e-15	3.33574e-17	-1.19098e-15	-1.3655e-10	-3.87555e-15	3.32672e-15	1.00904e-14	2.51838e-19	7.96635e-16	6.23815e-15	-3.78115e-16	-5.34316e-16
(PTS_2)	6.13699e-15	-4.83566e-14	-6.23495e-15	9.52302e-15	4.14626e-15	3.77417e-14	-4.3519e-15	1.07119e-15	3.93901e-14	-3.12817e-15	5.54607e-15	-3.39798e-15	-4.3156e-16	2.19667e-15	9.57478e-15	5.55486e-15	-3.86e-15	1.83495e-15	-4.92082e-15	9.75914e-15	1.94649e-15	-3.96899e-14	-2.10289e-14	-6.05375e-16	-4.06424e-17	3.73529e-15	3.21126e-16	-3.44909e-16	-1.31124e-15	1.17852e-14	3.62944e-14	2.52235e-15	-5.36734e-16	2.14584e-16	-2.14584e-16	9.39898e-15	1.77184e-15	7.19349e-14	-1.05895e-13	-6.47374e-15	1.78553e-15	1.01852e-15	2.66408e-15	-5.55676e-14	3.65585e-14	1.18979e-13	-1.39722e-13	4.20593e-14	-2.13152e-14	-2.93587e-15	1.41578e-15	1.6856e-15	4.33276e-15	3.05858e-15	-1.38541e-14	1	-6.58217e-16	2.78576e-16	-1.12976e-15	-1.20119e-09	-3.83649e-14	1.61435e-14	1.15248e-14	2.22598e-19	-1.4553e-15	4.05493e-15	1.39969e-15	5.54607e-15
(PTS_3)	-1.95946e-15	-1.08354e-13	-3.42297e-15	-2.9223e-15	1.48142e-14	9.3824e-14	-2.9813e-15	3.31292e-15	9.23458e-14	-1.89695e-14	8.30149e-15	2.26506e-15	1.65187e-15	-2.46985e-15	1.41059e-15	6.56893e-15	-4.38108e-15	6.32278e-15	-1.68057e-15	7.8712e-15	-6.60062e-15	-9.38858e-14	-5.74738e-14	-1.44425e-15	-2.00747e-15	4.56937e-15	1.89644e-16	-3.38348e-16	-1.62367e-15	1.26496e-14	9.61916e-14	3.3408e-15	-1.19621e-15	-2.24795e-16	2.24795e-16	9.87092e-15	1.58622e-15	-1.17173e-14	-8.87729e-14	-5.73037e-15	-7.00832e-16	2.64966e-15	1.27049e-15	-1.35361e-13	9.75195e-14	1.28937e-13	-1.94545e-13	9.75024e-14	-6.72455e-14	4.61554e-15	-4.82473e-15	1.44244e-15	1.76703e-15	1.26474e-15	4.18857e-15	1	1.92948e-15	-3.28111e-16	-3.16682e-16	-3.08508e-09	-1.00486e-13	1.34311e-14	6.58038e-15	2.13168e-19	-2.27247e-15	3.44827e-15	2.57168e-15	8.30149e-15
(PTS_4)	-2.0937e-16	1.27147e-14	4.49388e-16	3.6907e-16	-1.09209e-15	-1.18736e-14	3.91891e-16	-4.12482e-16	-1.20339e-14	1.44363e-15	-1.00836e-15	-9.39873e-17	-9.35366e-17	1.51168e-17	3.62417e-16	-4.15124e-17	4.76377e-16	-8.50322e-16	-9.09262e-16	-2.64155e-16	4.83627e-16	1.19667e-14	7.60568e-15	2.5092e-17	2.49852e-16	-4.01417e-17	-2.47796e-17	4.16338e-17	-9.92916e-17	1.45214e-16	-1.21706e-14	-1.49843e-16	1.56973e-16	-1.33418e-17	1.33418e-17	2.41882e-16	-9.79794e-18	2.4251e-14	-1.17996e-14	9.00912e-17	4.70265e-17	-7.97882e-17	1.82169e-16	1.68787e-14	-1.24766e-14	8.04594e-15	-2.4176e-17	-1.22755e-14	8.41322e-15	-5.65136e-16	6.12849e-16	-1.74435e-16	-2.2031e-16	-1.14378e-16	-3.00512e-16	1	-1.26688e-16	7.08609e-17	-1.05639e-16	3.79587e-10	1.24504e-14	6.42736e-17	5.44828e-16	1.03829e-20	2.79206e-16	4.178e-16	-3.26041e-16	-1.00836e-15
(_GLC_FEED)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
(CYTBO)	-0.03027	0.0581171	-0.00180479	-0.000327743	0.179776	2.3585e-06	0.00110407	0.00334601	0.227897	0.330479	-0.000123632	-0.000606855	0.0289713	-0.0789557	0.0907821	0.160363	-0.0180252	-0.0537633	-1.09536	-0.00834391	0.00834299	0.0414302	-0.214965	0.214295	0.00931456	0.103561	8.17131e-05	7.01326e-05	-0.0650897	0.533132	1.71899e-05	0.0865918	0.000141371	0.00143957	-0.00143957	0.422734	0.0514858	4.72273	-4.67295	-0.0209797	-0.00175861	-0.023003	0.179996	0.0368405	0.0297021	-2.67039	2.7331	0.0115005	3.32476e-05	0.00139891	-5.62153e-06	-0.000646905	-3.5276e-05	-3.36289e-17	-6.38529e-17	1.40769	0.108031	0.00982991	0.0564723	-3082.08	0.0497732	2.76608e-15	-0.284361	-7.6576e-06	-0.000286505	-0.515648	-0.000286505	-0.000123632
(SQR)	-0.00484738	0.0321678	-0.0011222	-0.000203786	0.0566949	7.43789e-07	0.000392647	0.00118996	0.0903437	-0.0714269	-0.000128526	-0.0758741	0.0102774	-0.0287938	0.0308613	0.0564186	-0.0065918	-0.0204946	-0.417551	-0.0106737	0.00601459	0.0154795	-0.0861559	0.0873886	0.00509147	0.0365278	4.66843e-05	4.00681e-05	-0.0195813	0.197593	6.81447e-06	0.0272181	4.56102e-05	0.000845779	-0.000845779	0.130587	0.0159045	1.42084	-1.39934	0.210557	0.0176498	-0.0147985	0.0394592	0.0173063	0.0125849	-1.25845	1.28413	0.00370755	2.9283e-05	0.000450983	-2.6492e-06	-0.00030486	-1.66242e-05	-1.97745e-16	4.35919e-16	0.387152	0.0250576	0.0030898	0.0192804	-1120.13	0.0214941	1.28754e-15	-0.122811	-3.30719e-06	-0.000274103	-0.493327	-0.000274103	-0.000128526
